block1, , ,Cat,Dog,0,txt, Labrador, Target2,614.7000000055414
block1, , ,Cat,Dog,0,txt, Calico, Target1,135.09999999951106
block1, , ,Cat,Dog,0,txt, Feline, Target1,129.19999999576248
block1, , ,Cat,Dog,0,txt, Feline, Target1,105.8000000048196
block1, , ,Cat,Dog,0,txt, Calico, Target1,110.59999999997672
block1, , ,Cat,Dog,0,txt, Terrier, Target2,33.59999999520369
block1, , ,Cat,Dog,0,txt, Tabby, Target1,59.30000000807922
block1, , ,Cat,Dog,0,txt, Siamese, Target1,112.60000000766013
block1, , ,Cat,Dog,0,txt, Siamese, Target1,95.79999999550637
block1, , ,Cat,Dog,0,txt, Poodle, Target2,86.10000000044238
block1, , ,Cat,Dog,0,txt, Siamese, Target1,33.999999999650754
block1, , ,Cat,Dog,0,txt, Siamese, Target1,72.19999999506399
block1, , ,Cat,Dog,0,txt, Tabby, Target1,66.09999999636784
block1, , ,Cat,Dog,0,txt, Siamese, Target1,88.00000000337604
block1, , ,Cat,Dog,0,txt, Poodle, Target2,76.49999999557622
block1, , ,Cat,Dog,0,txt, Feline, Target1,29.399999999441206
block1, , ,Cat,Dog,0,txt, Terrier, Target2,58.49999999918509
block1, , ,Cat,Dog,0,txt, Tabby, Target1,16.80000001215376
block1, , ,Cat,Dog,0,txt, Poodle, Target2,88.79999999771826
block1, , ,Cat,Dog,0,txt, Feline, Target1,35.199999998440035
block2,Good,Bad, , ,0,txt, unpleasant,  Bad,485.20000001008157
block2,Good,Bad, , ,0,txt, unpleasant,  Bad,120.89999999443535
block2,Good,Bad, , ,0,txt, horrible,  Bad,110.89999999967404
block2,Good,Bad, , ,0,txt, horrible,  Bad,136.7000000027474
block2,Good,Bad, , ,0,txt, dreadful,  Bad,144.10000000498258
block2,Good,Bad, , ,0,txt, dreadful,  Bad,27.600000001257285
block2,Good,Bad, , ,0,txt, awful,  Bad,125.90000001364388
block2,Good,Bad, , ,0,txt, glorious, Good,239.90000000048894
block2,Good,Bad, , ,0,txt, fantastic, Good,242.2999999980675
block2,Good,Bad, , ,0,txt, terrible,  Bad,97.99999999813735
block2,Good,Bad, , ,0,txt, superb, Good,41.10000000218861
block2,Good,Bad, , ,0,txt, horrible,  Bad,126.39999999373686
block2,Good,Bad, , ,0,txt, glorious, Good,103.00000000279397
block2,Good,Bad, , ,0,txt, wonderful, Good,440.3000000020256
block2,Good,Bad, , ,0,txt, glorious, Good,447.59999999951106
block2,Good,Bad, , ,0,txt, wonderful, Good,432.0000000006985
block2,Good,Bad, , ,0,txt, glorious, Good,448.1999999989057
block2,Good,Bad, , ,0,txt, fantastic, Good,359.89999999583233
block2,Good,Bad, , ,0,txt, glorious, Good,408.69999999995343
block2,Good,Bad, , ,0,txt, glorious, Good,352.100000003702
block3,Good,Bad,Cat,Dog,0,txt, Tabby,  Target1,406.6000000020722
block3,Good,Bad,Cat,Dog,0,txt, glorious, Good,360.0000000005821
block3,Good,Bad,Cat,Dog,0,txt, Poodle,  Target2,111.60000000381842
block3,Good,Bad,Cat,Dog,0,txt, glorious, Good,87.19999999448191
block3,Good,Bad,Cat,Dog,0,txt, Beagle,  Target2,85.20000000135042
block3,Good,Bad,Cat,Dog,0,txt, wonderful, Good,131.39999999839347
block3,Good,Bad,Cat,Dog,0,txt, Calico,  Target1,319.89999998768326
block3,Good,Bad,Cat,Dog,0,txt, dreadful, Bad,143.30000001064036
block3,Good,Bad,Cat,Dog,0,txt, Siamese, Target1,105.00000001047738
block3,Good,Bad,Cat,Dog,0,txt, awful, Bad,118.90000000130385
block3,Good,Bad,Cat,Dog,0,txt, Feline, Target1,111.49999999906868
block3,Good,Bad,Cat,Dog,0,txt, glorious, Good,354.8999999911757
block3,Good,Bad,Cat,Dog,0,txt, Feline, Target1,383.60000000102445
block3,Good,Bad,Cat,Dog,0,txt, wonderful, Good,361.3000000041211
block3,Good,Bad,Cat,Dog,0,txt, Calico,  Target1,320.09999999718275
block3,Good,Bad,Cat,Dog,0,txt, fantastic, Good,352.8000000078464
block3,Good,Bad,Cat,Dog,0,txt, Tabby,  Target1,348.70000000228174
block3,Good,Bad,Cat,Dog,0,txt, awful, Bad,87.79999999387655
block3,Good,Bad,Cat,Dog,0,txt, Terrier, Target2,344.1000000020722
block3,Good,Bad,Cat,Dog,0,txt, fantastic, Good,96.70000000915024
block4,Good,Bad,Cat,Dog,0,txt, Feline,  Target1,224.00000000197906
block4,Good,Bad,Cat,Dog,0,txt, unpleasant,  Bad,92.49999999883585
block4,Good,Bad,Cat,Dog,0,txt, Tabby,  Target1,25.599999993573874
block4,Good,Bad,Cat,Dog,0,txt, awful,  Bad,78.20000000356231
block4,Good,Bad,Cat,Dog,0,txt, Poodle,  Target2,361.799999998766
block4,Good,Bad,Cat,Dog,0,txt, dreadful,  Bad,336.1000000004424
block4,Good,Bad,Cat,Dog,0,txt, Beagle,  Target2,336.1999999906402
block4,Good,Bad,Cat,Dog,0,txt, terrible,  Bad,336.29999999538995
block4,Good,Bad,Cat,Dog,0,txt, Beagle,  Target2,335.80000000074506
block4,Good,Bad,Cat,Dog,0,txt, fantastic,  Good,81.29999999073334
block4,Good,Bad,Cat,Dog,0,txt, Tabby,  Target1,360.0000000005821
block4,Good,Bad,Cat,Dog,0,txt, fantastic,  Good,376.0000000038417
block4,Good,Bad,Cat,Dog,0,txt, Poodle,  Target2,87.8999999986263
block4,Good,Bad,Cat,Dog,0,txt, glorious,  Good,87.80000000842847
block4,Good,Bad,Cat,Dog,0,txt, Siamese, Target1,351.99999999895226
block4,Good,Bad,Cat,Dog,0,txt, wonderful,  Good,368.0999999924097
